subjectID;age;sex;parentality;babyID_ref;babyID_stim;stim;rank;delay_training_testing_h;nationality;real_baby_status;rated_baby_status;rated_baby_status_binom
Pdad01;37;male;parent;BEL;ASE;ASE_D1;1;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;CAE;CAE_D4;2;3.18;Spain;unknown;familiar;1
Pdad01;37;male;parent;BEL;CAE;CAE_D3;3;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;MAJ;MAJ_D3;4;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;CAE;CAE_D2;5;3.18;Spain;unknown;familiar;1
Pdad01;37;male;parent;BEL;MAJ;MAJ_D4;6;3.18;Spain;unknown;familiar;1
Pdad01;37;male;parent;BEL;BEL;BEL_D3;7;3.18;Spain;familiar;familiar;1
Pdad01;37;male;parent;BEL;BEL;BEL_D1;8;3.18;Spain;familiar;unknown;0
Pdad01;37;male;parent;BEL;AUP;AUP_D4;9;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;BEL;BEL_D4;10;3.18;Spain;familiar;familiar;1
Pdad01;37;male;parent;BEL;ASE;ASE_D2;11;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;ASE;ASE_D3;12;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;MAJ;MAJ_D2;13;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;AUP;AUP_D1;14;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;AUP;AUP_D3;15;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;MAJ;MAJ_D1;16;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;AUP;AUP_D2;17;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;ASE;ASE_D4;18;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;CAE;CAE_D1;19;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;BEL;BEL_D2;20;3.18;Spain;familiar;unknown;0
Pdad01;37;male;parent;BEL;BEL;BEL_D1;21;3.18;Spain;familiar;unknown;0
Pdad01;37;male;parent;BEL;AUP;AUP_D3;22;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;AUP;AUP_D1;23;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;BEL;BEL_D4;24;3.18;Spain;familiar;familiar;1
Pdad01;37;male;parent;BEL;AUP;AUP_D2;25;3.18;Spain;unknown;unknown;0
Pdad01;37;male;parent;BEL;ASE;ASE_D1;26;3.18;Spain;unknown;unknown;0
